Length,Curl,KinkIndex,NumberKink,TotalKinkAngle,Width
 0.290,  0.00,  0.00,0,  0.00,    30
 0.463,  0.01,  0.00,0,  0.00,    28
 0.128,  0.00,  0.00,0,  0.00,     0
 0.365,  0.18,  0.00,0,  0.00,    53
 0.096,  0.00,  0.00,0,  0.00,     0
 0.633,  0.35,  3.16,1, 47.16,   118
 1.084,  0.02,  0.00,0,  0.00,    26
 0.140,  0.04,  0.00,0,  0.00,     0
 1.471,  0.24,  4.08,3,102.52,    16
 0.054,  0.00,  0.00,0,  0.00,     0
 0.236,  0.03,  0.00,0,  0.00,    31
 0.041,  0.00,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.506,  0.15,  5.93,1, 54.08,    22
 0.156,  0.04,  0.00,0,  0.00,     0
 0.511,  0.21,  5.87,1, 59.68,    19
 0.643,  0.17,  3.11,1, 41.16,    63
 0.224,  0.03,  0.00,0,  0.00,    32
 0.083,  0.00,  0.00,0,  0.00,     0
 0.300,  0.03,  0.00,0,  0.00,    36
 0.415,  0.02,  0.00,0,  0.00,    24
 0.170,  0.00,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.210,  0.03,  0.00,0,  0.00,    16
 0.054,  0.00,  0.00,0,  0.00,     0
 0.548,  0.04,  1.83,1, 21.21,    14
 0.201,  0.07,  0.00,0,  0.00,    22
 0.119,  0.00,  0.00,0,  0.00,     0
 0.223,  0.03,  0.00,0,  0.00,    24
 0.529,  0.32,  1.89,1, 20.43,    32
 0.113,  0.00,  0.00,0,  0.00,     0
 0.081,  0.00,  0.00,0,  0.00,     0
 0.302,  0.02,  0.00,0,  0.00,    33
 0.041,  0.00,  0.00,0,  0.00,     0
 0.088,  0.00,  0.00,0,  0.00,     0
 0.107,  0.00,  0.00,0,  0.00,     0
 0.081,  0.00,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.510,  0.02,  0.00,0,  0.00,    25
 0.041,  0.00,  0.00,0,  0.00,     0
 0.086,  0.00,  0.00,0,  0.00,     0
 0.143,  0.00,  0.00,0,  0.00,     0
 0.249,  0.02,  0.00,0,  0.00,    33
 0.041,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.649,  0.07,  4.62,1, 48.62,    20
 0.068,  0.00,  0.00,0,  0.00,     0
 0.054,  0.00,  0.00,0,  0.00,     0
 0.068,  0.00,  0.00,0,  0.00,     0
 0.086,  0.00,  0.00,0,  0.00,     0
 0.182,  0.04,  0.00,0,  0.00,    23
 0.290,  0.17,  0.00,0,  0.00,    61
 0.292,  0.26,  0.00,0,  0.00,    62
